station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,NO2,0.0,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,O3,45.2,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,CO,117.3,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,SO2,3.9,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,PM10,7.6,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,PM2.5,4.9,,µg/m³,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,Temperatura,20.1,,°C,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,Vlažnost,56.6,,%,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,Buka,63.0,,dB,2026-09-26T11:05:26+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-26T10:00,EAQI kategorija,,Dobro,,2026-09-26T11:05:26+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,NO2,40.9,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,O3,14.5,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,CO,399.8,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,SO2,5.8,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,PM10,4.5,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,PM2.5,2.8,,µg/m³,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,Temperatura,14.1,,°C,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,Vlažnost,78.0,,%,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,Buka,67.6,,dB,2026-09-26T11:05:27+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-26T10:00,EAQI kategorija,,Prihvatljivo,,2026-09-26T11:05:27+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,CH3SH,5.3,,µg/m³,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,SO2,5.0,,µg/m³,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,NH3,6.6,,µg/m³,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,H2S,0.0,,µg/m³,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,Temperatura,15.5,,°C,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,Vlažnost,74.4,,%,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,Vjetar,0.7,,m/s,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,Oborine,0.0,,mm,2026-09-26T11:05:28+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-26T10:00,EAQI kategorija,,Dobro,,2026-09-26T11:05:28+02:00
