station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,NO2,0.0,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,O3,39.4,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,CO,90.1,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,SO2,3.9,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,PM10,6.3,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,PM2.5,4.0,,µg/m³,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,Temperatura,25.2,,°C,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,Vlažnost,61.7,,%,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,Buka,63.3,,dB,2026-09-20T11:11:50+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-20T10:00,EAQI kategorija,,Dobro,,2026-09-20T11:11:50+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,NO2,37.4,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,O3,14.4,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,CO,379.5,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,SO2,6.1,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,PM10,5.7,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,PM2.5,3.0,,µg/m³,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,Temperatura,18.9,,°C,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,Vlažnost,85.3,,%,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,Buka,65.4,,dB,2026-09-20T11:11:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-20T10:00,EAQI kategorija,,Dobro,,2026-09-20T11:11:51+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,CH3SH,5.0,,µg/m³,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,SO2,5.5,,µg/m³,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,NH3,7.1,,µg/m³,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,H2S,0.0,,µg/m³,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,Temperatura,20.0,,°C,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,Vlažnost,82.2,,%,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,Vjetar,,,,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,Oborine,0.0,,mm,2026-09-20T11:11:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-20T10:00,EAQI kategorija,,Dobro,,2026-09-20T11:11:52+02:00
