station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,NO2,3.2,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,O3,5.5,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,CO,158.8,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,SO2,3.8,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,PM10,4.1,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,PM2.5,3.0,,µg/m³,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,Temperatura,17.8,,°C,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,Vlažnost,88.9,,%,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,Buka,60.4,,dB,2026-09-14T22:30:54+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T00:00,EAQI kategorija,,Dobro,,2026-09-14T22:30:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,NO2,34.0,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,O3,5.5,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,CO,331.5,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,SO2,6.4,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,PM10,5.3,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,PM2.5,2.4,,µg/m³,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,Temperatura,16.8,,°C,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,Vlažnost,94.2,,%,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,Buka,62.0,,dB,2026-09-14T22:30:56+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T00:00,EAQI kategorija,,Dobro,,2026-09-14T22:30:56+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,CH3SH,5.0,,µg/m³,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,SO2,5.3,,µg/m³,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,NH3,7.3,,µg/m³,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,H2S,6.3,,µg/m³,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,Temperatura,15.9,,°C,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,Vlažnost,96.2,,%,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,Vjetar,,,,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,Oborine,0.0,,mm,2026-09-14T22:30:57+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T00:00,EAQI kategorija,,Dobro,,2026-09-14T22:30:57+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,NO2,0.0,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,O3,6.3,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,CO,117.7,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,SO2,3.8,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,PM10,4.4,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,PM2.5,3.3,,µg/m³,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,Temperatura,15.7,,°C,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,Vlažnost,90.6,,%,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,Buka,60.0,,dB,2026-09-15T01:28:41+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T03:00,EAQI kategorija,,Dobro,,2026-09-15T01:28:41+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,NO2,25.8,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,O3,6.7,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,CO,292.0,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,SO2,6.2,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,PM10,5.4,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,PM2.5,2.7,,µg/m³,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,Temperatura,14.4,,°C,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,Vlažnost,96.3,,%,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,Buka,60.3,,dB,2026-09-15T01:28:43+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T03:00,EAQI kategorija,,Dobro,,2026-09-15T01:28:43+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,CH3SH,4.6,,µg/m³,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,SO2,5.1,,µg/m³,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,NH3,6.6,,µg/m³,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,H2S,4.5,,µg/m³,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,Temperatura,13.9,,°C,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,Vlažnost,97.2,,%,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,Vjetar,0.0,,m/s,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,Oborine,0.0,,mm,2026-09-15T01:28:44+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T03:00,EAQI kategorija,,Dobro,,2026-09-15T01:28:44+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,NO2,0.0,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,O3,10.6,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,CO,125.5,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,SO2,3.8,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,PM10,3.8,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,PM2.5,2.8,,µg/m³,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,Temperatura,15.9,,°C,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,Vlažnost,88.0,,%,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,Buka,61.2,,dB,2026-09-15T07:45:53+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T09:00,EAQI kategorija,,Dobro,,2026-09-15T07:45:53+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,NO2,37.2,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,O3,6.7,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,CO,376.3,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,SO2,6.0,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,PM10,4.4,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,PM2.5,2.6,,µg/m³,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,Temperatura,13.8,,°C,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,Vlažnost,97.4,,%,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,Buka,69.5,,dB,2026-09-15T07:45:54+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T09:00,EAQI kategorija,,Dobro,,2026-09-15T07:45:54+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,CH3SH,5.0,,µg/m³,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,SO2,5.1,,µg/m³,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,NH3,6.8,,µg/m³,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,H2S,4.4,,µg/m³,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,Temperatura,14.0,,°C,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,Vlažnost,98.2,,%,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,Vjetar,,,,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,Oborine,0.0,,mm,2026-09-15T07:45:55+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T09:00,EAQI kategorija,,Dobro,,2026-09-15T07:45:55+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,NO2,0.0,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,O3,38.1,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,CO,97.4,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,SO2,3.9,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,PM10,4.3,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,PM2.5,3.1,,µg/m³,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,Temperatura,24.5,,°C,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,Vlažnost,65.1,,%,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,Buka,62.3,,dB,2026-09-15T12:47:05+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-15T12:00,EAQI kategorija,,Dobro,,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,NO2,40.5,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,O3,15.3,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,CO,317.6,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,SO2,5.8,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,PM10,3.6,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,PM2.5,2.2,,µg/m³,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,Temperatura,18.9,,°C,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,Vlažnost,86.0,,%,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,Buka,67.9,,dB,2026-09-15T12:47:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-15T12:00,EAQI kategorija,,Prihvatljivo,,2026-09-15T12:47:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,CH3SH,5.4,,µg/m³,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,SO2,5.4,,µg/m³,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,NH3,6.4,,µg/m³,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,H2S,0.0,,µg/m³,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,Temperatura,20.3,,°C,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,Vlažnost,82.6,,%,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,Vjetar,,,,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,Oborine,0.0,,mm,2026-09-15T12:47:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-15T12:00,EAQI kategorija,,Dobro,,2026-09-15T12:47:06+02:00
