station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T10:00,PM2.5,6.2,,µg/m³,2026-09-17T10:39:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T10:00,Temperatura,15.9,,°C,2026-09-17T10:39:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T10:00,Vlažnost,88.5,,%,2026-09-17T10:39:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T10:00,Buka,67.7,,dB,2026-09-17T10:39:05+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T10:00,EAQI kategorija,,Prihvatljivo,,2026-09-17T10:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,CH3SH,4.7,,µg/m³,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,SO2,5.3,,µg/m³,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,NH3,7.3,,µg/m³,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,H2S,5.0,,µg/m³,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,Temperatura,16.1,,°C,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,Vlažnost,92.5,,%,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,Vjetar,,,,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,Oborine,0.0,,mm,2026-09-17T10:39:06+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T10:00,EAQI kategorija,,Dobro,,2026-09-17T10:39:06+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,NO2,9.0,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,O3,13.4,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,CO,151.6,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,SO2,3.8,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,PM10,8.6,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,PM2.5,6.4,,µg/m³,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,Temperatura,18.7,,°C,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,Vlažnost,78.4,,%,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,Buka,61.6,,dB,2026-09-17T11:39:03+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-17T11:00,EAQI kategorija,,Dobro,,2026-09-17T11:39:03+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,NO2,51.9,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,O3,5.0,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,CO,405.8,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,SO2,6.2,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,PM10,10.5,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,PM2.5,5.9,,µg/m³,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,Temperatura,17.2,,°C,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,Vlažnost,84.6,,%,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,Buka,67.6,,dB,2026-09-17T11:39:04+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-17T11:00,EAQI kategorija,,Prihvatljivo,,2026-09-17T11:39:04+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,CH3SH,4.9,,µg/m³,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,SO2,5.3,,µg/m³,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,NH3,7.0,,µg/m³,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,H2S,3.1,,µg/m³,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,Temperatura,16.8,,°C,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,Vlažnost,90.5,,%,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,Vjetar,,,,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,Oborine,0.0,,mm,2026-09-17T11:39:05+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-17T11:00,EAQI kategorija,,Dobro,,2026-09-17T11:39:05+02:00
