station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,NO2,0.1,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,O3,4.9,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,CO,142.0,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,SO2,3.8,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,PM10,7.0,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,PM2.5,5.1,,µg/m³,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,Temperatura,12.3,,°C,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,Vlažnost,86.8,,%,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,Buka,62.1,,dB,2026-09-16T08:03:33+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-16T07:00,EAQI kategorija,,Dobro,,2026-09-16T08:03:33+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,NO2,28.8,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,O3,4.5,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,CO,332.7,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,SO2,6.2,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,PM10,8.9,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,PM2.5,5.1,,µg/m³,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,Temperatura,11.3,,°C,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,Vlažnost,92.8,,%,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,Buka,67.3,,dB,2026-09-16T08:03:34+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-16T07:00,EAQI kategorija,,Dobro,,2026-09-16T08:03:34+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,CH3SH,5.2,,µg/m³,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,SO2,4.9,,µg/m³,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,NH3,6.8,,µg/m³,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,H2S,5.5,,µg/m³,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,Temperatura,10.6,,°C,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,Vlažnost,95.7,,%,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,Vjetar,,,,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,Oborine,0.0,,mm,2026-09-16T08:03:35+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-16T07:00,EAQI kategorija,,Dobro,,2026-09-16T08:03:35+02:00
