station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,NO2,2.0,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,O3,33.1,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,CO,97.4,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,SO2,3.9,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,PM10,1.5,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,PM2.5,1.1,,µg/m³,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,Temperatura,14.8,,°C,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,Vlažnost,86.8,,%,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,Buka,61.6,,dB,2026-09-11T10:23:12+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T10:00,EAQI kategorija,,Dobro,,2026-09-11T10:23:12+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,NO2,48.8,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,O3,12.8,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,CO,313.3,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,SO2,5.0,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,PM10,2.9,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,PM2.5,2.0,,µg/m³,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,Temperatura,13.4,,°C,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,Vlažnost,92.9,,%,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,Buka,69.5,,dB,2026-09-11T10:23:13+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-11T10:00,EAQI kategorija,,Prihvatljivo,,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,CH3SH,5.2,,µg/m³,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,SO2,4.7,,µg/m³,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,NH3,6.7,,µg/m³,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,H2S,3.1,,µg/m³,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,Temperatura,13.2,,°C,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,Vlažnost,96.9,,%,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,Vjetar,,,,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,Oborine,0.0,,mm,2026-09-11T10:23:13+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-11T10:00,EAQI kategorija,,Dobro,,2026-09-11T10:23:13+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T11:00,NO2,2.6,,µg/m³,2026-09-11T09:18:12+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T11:00,O3,32.9,,µg/m³,2026-09-11T09:18:12+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-11T11:00,CO,96.6,,µg/m³,2026-09-11T09:18:12+00:00
