station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,NO2,0.0,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,O3,33.8,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,CO,80.2,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,SO2,3.9,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,PM10,7.0,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,PM2.5,4.7,,µg/m³,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,Temperatura,24.0,,°C,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,Vlažnost,65.9,,%,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,Buka,63.0,,dB,2026-09-19T11:10:51+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-19T10:00,EAQI kategorija,,Dobro,,2026-09-19T11:10:51+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,NO2,39.7,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,O3,17.0,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,CO,335.0,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,SO2,5.6,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,PM10,6.6,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,PM2.5,3.5,,µg/m³,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,Temperatura,18.6,,°C,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,Vlažnost,85.8,,%,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,Buka,67.5,,dB,2026-09-19T11:10:52+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-19T10:00,EAQI kategorija,,Dobro,,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,CH3SH,5.2,,µg/m³,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,SO2,5.2,,µg/m³,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,NH3,6.3,,µg/m³,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,H2S,0.0,,µg/m³,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,Temperatura,19.2,,°C,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,Vlažnost,86.0,,%,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,Vjetar,,,,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,Oborine,0.0,,mm,2026-09-19T11:10:52+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-19T10:00,EAQI kategorija,,Dobro,,2026-09-19T11:10:52+02:00
