station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,NO2,27.0,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,O3,48.5,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,CO,184.4,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,SO2,3.8,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,PM10,7.0,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,PM2.5,4.6,,µg/m³,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,Temperatura,19.9,,°C,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,Vlažnost,64.9,,%,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,Buka,59.8,,dB,2026-09-13T23:10:46+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-14T00:00,EAQI kategorija,,Dobro,,2026-09-13T23:10:46+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,NO2,56.1,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,O3,24.8,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,CO,328.6,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,SO2,7.0,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,PM10,6.0,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,PM2.5,3.1,,µg/m³,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,Temperatura,19.0,,°C,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,Vlažnost,67.8,,%,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,Buka,59.5,,dB,2026-09-13T23:10:47+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-14T00:00,EAQI kategorija,,Prihvatljivo,,2026-09-13T23:10:47+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,CH3SH,5.0,,µg/m³,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,SO2,5.6,,µg/m³,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,NH3,7.2,,µg/m³,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,H2S,10.8,,µg/m³,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,Temperatura,17.7,,°C,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,Vlažnost,77.0,,%,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,Vjetar,,,,2026-09-13T23:10:48+00:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-14T00:00,Oborine,0.0,,mm,2026-09-13T23:10:48+00:00
