station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,NO2,0.2,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,O3,12.2,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,CO,199.6,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,SO2,3.8,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,PM10,8.0,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,PM2.5,5.9,,µg/m³,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,Temperatura,8.0,,°C,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,Vlažnost,85.2,,%,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,Buka,60.7,,dB,2026-09-24T07:58:40+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-24T07:00,EAQI kategorija,,Dobro,,2026-09-24T07:58:40+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,NO2,24.7,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,O3,4.7,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,CO,454.0,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,SO2,6.3,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,PM10,8.4,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,PM2.5,5.3,,µg/m³,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,Temperatura,7.3,,°C,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,Vlažnost,90.9,,%,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,Buka,65.6,,dB,2026-09-24T07:58:42+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-24T07:00,EAQI kategorija,,Dobro,,2026-09-24T07:58:42+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,CH3SH,4.8,,µg/m³,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,SO2,4.6,,µg/m³,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,NH3,6.8,,µg/m³,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,H2S,5.8,,µg/m³,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,Temperatura,6.4,,°C,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,Vlažnost,94.5,,%,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,Vjetar,0.4,,m/s,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,Oborine,0.0,,mm,2026-09-24T07:58:43+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-24T07:00,EAQI kategorija,,Dobro,,2026-09-24T07:58:43+02:00
